Port,,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,
,,SYS,TIM1/2,TIM3/4/5/6/7,I2S,I2C1/2/3,SPI1/2/3/4,QSPI,UART2/3/4/5,UART1,CAN1/CAN2,OTG_FS,,SDIO1/2,TOUCH,LTDC,,ADC
PortA,PA0,,,,,,,,,,,,,,,,EVENTOUT,
PortA,PA1,,,TIM6_CH1,,,,,,,,,,,,,EVENTOUT,
PortA,PA2,,,,,,,,UART2_TX,,,,,,,,EVENTOUT,
PortA,PA3,,,,,,,,UART2_RX,,,,,,,,EVENTOUT,
PortA,PA4,,,,,,SPI2_NSS,,,,,,,,,,EVENTOUT,
PortA,PA5,,,,,,SPI2_SCK,,,,,,,,,,EVENTOUT,
PortA,PA6,,,,,,SPI2_MISO,,,,,,,,,,EVENTOUT,
PortA,PA7,,,,,,SPI2_MOSI,,,,,,,,,,EVENTOUT,
PortA,PA8,,,TIM4_CH4,,,,,,,,,,,,,EVENTOUT,
PortA,PA9,,,,,,,,,UART1_TX,,,,,,,EVENTOUT,
PortA,PA10,,,,,,,,,UART1_RX,,,,,,,EVENTOUT,
PortA,PA11,,,,,I2C2_SCL,,,UART5_RX,UART1_CTS,,OTG_FS_DP,,,,,EVENTOUT,
PortA,PA12,,,,,I2C2_SDA,,,UART5_TX,UART1_RTS,,OTG_FS_DM,,,,,EVENTOUT,
PortA,PA13,MOC,,,,,,,,,,,,,,,EVENTOUT,
PortA,PA14,SWC,,,,,,,,,,,,,,,EVENTOUT,
PortA,PA15,SWD,,,,,,,,,,,,,,,EVENTOUT,
PortB,PB0,,,,,I2C1_SDA,SPI1_MOSI,,,,,,,,TOUCH_YP,,EVENTOUT,ADC12_IN0
PortB,PB1,,,,,,SPI1_MISO,,,,,,,,TOUCH_XP,,EVENTOUT,ADC12_IN1
PortB,PB2,,,,,I2C1_SCL,SPI1_SCK,,,,,,,,TOUCH_YN,,EVENTOUT,ADC12_IN2
PortB,PB3,,,,,,SPI1_NSS,,,,,,,,TOUCH_XN,,EVENTOUT,ADC12_IN3
PortB,PB4,,,TIM4_CH3,,,,,,,CAN2_RX,,,,,LTDC_DE,EVENTOUT,
PortB,PB5,,,TIM4_CH2,,,,,,,CAN2_TX,,,,,LTDC_PCLK,EVENTOUT,
PortB,PB6,,,TIM4_CH1,,,,,,,,,,,,LTDC_HSYNC,EVENTOUT,
PortB,PB7,,,TIM4_ETR,,,,,,,,,,,,LTDC_VSYNC,EVENTOUT,
PortB,PB8,,,TIM5_CH1,,,,,,,CAN1_TX,,,,,LTDC_RD,EVENTOUT,
PortB,PB9,,,TIM5_CH2,,,,,,,CAN1_RX,,,,,LTDC_WR,EVENTOUT,
PortB,PB10,,,,,,,,UART3_TX,,,,,,,LTDC_RS,EVENTOUT,
PortB,PB11,,,,,,,,UART3_RX,,,,,,,LTDC_CS,EVENTOUT,
PortB,PB12,,,,,,,,,,,,,,,LTDC_BUSY,EVENTOUT,
PortB,PB13,TAMPER_RTC,,,,,,,,,,,,,,,EVENTOUT,
PortB,PB14,,,TIM7_CH1,,,,,,,,,,,,,EVENTOUT,
PortB,PB15,,,TIM7_CH2,,,,,,,,,,,,,EVENTOUT,
PortC,PC0,,,,,I2C3_SDA,SPI4_NSS,,,,,,,,,,EVENTOUT,
PortC,PC1,,,,,I2C3_SCL,SPI4_SCK,,,,,,,,,,EVENTOUT,
PortC,PC2,,,,,,SPI4_MISO,,,,,,,SDIO1_D2,,,EVENTOUT,
